"","AirPtCd","lag","mxT_mean","mxT_sd","mnT_mean","mnT_sd","mxT_mean_abs","mxT_sd_abs","mnT_mean_abs","mnT_sd_abs","Precip_Acc","city","state","longitude","latitude","elevation","name.arpt","state.arpt","lon.arpt","lat.arpt","elev.arpt","WMO","census2010","est2010","est2016","dist2Coast","coastRegion","coast.arpt","coastRegion.arpt"
"11","KACY",3,-3.78467507274491,5.40874856460313,4.88360814742968,6.8399194466451,5.12124151309408,4.16409115608411,6.45683802133851,5.37829413999102,0.775945683802134,"Atlantic City","New Jersey",-74.4167,39.3667,4,"Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.530993377514091,"M",5.56149350683829,"M"
"12","KACY",4,-3.8747572815534,5.78484025390399,4.93009708737864,6.92448276796047,5.43203883495146,4.35396256394202,6.63106796116505,5.31640344619956,0.764077669902913,"Atlantic City","New Jersey",-74.4167,39.3667,4,"Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.530993377514091,"M",5.56149350683829,"M"
"13","KACY",5,-3.96987366375121,6.27499407688624,4.93573515092502,7.03983088080753,5.76967930029155,4.67217256663133,6.74683544303798,5.32731542931531,0.719144800777454,"Atlantic City","New Jersey",-74.4167,39.3667,4,"Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.530993377514091,"M",5.56149350683829,"M"
"14","KACY",6,-4.03021442495127,6.83320896317864,7.88,5.53263047744922,6.22124756335283,4.92031892711298,8.12,5.15848815061157,0.674463937621832,"Atlantic City","New Jersey",-74.4167,39.3667,4,"Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.530993377514091,"M",5.56149350683829,"M"
"15","KACY",7,-5,NA,NA,NA,5,NA,NA,NA,0,"Atlantic City","New Jersey",-74.4167,39.3667,4,"Atlantic City","NJ",-74.57,39.45,20,72407,39558,39558,38735,0.530993377514091,"M",5.56149350683829,"M"
"16","KAGC",0,-0.506769825918762,3.33981418221895,1.65280464216634,6.02000190286444,2.38104448742747,2.39511209097175,4.4825918762089,4.34301150571716,0.825918762088975,"Pittsburgh","Pennsylvania",-79.95,40.45,276,"Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.392733413943,"L",182.263940475727,"L"
"17","KAGC",1,-0.590513068731849,3.89316970809651,0.700871248789932,6.04156863453288,2.87899322362052,2.68499169100539,4.48789932236205,4.10262002001329,0.812197483059051,"Pittsburgh","Pennsylvania",-79.95,40.45,276,"Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.392733413943,"L",182.263940475727,"L"
"18","KAGC",2,-0.751937984496124,4.33429650710184,0.511627906976744,5.98995768596466,3.22286821705426,2.99251252989662,4.47674418604651,4.01010385642883,0.78391472868217,"Pittsburgh","Pennsylvania",-79.95,40.45,276,"Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.392733413943,"L",182.263940475727,"L"
"19","KAGC",3,-0.772065955383123,4.74673474888035,0.686711930164888,5.8017245472178,3.55383123181377,3.23823672003527,4.34141610087294,3.90715320253138,0.760426770126091,"Pittsburgh","Pennsylvania",-79.95,40.45,276,"Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.392733413943,"L",182.263940475727,"L"
"20","KAGC",4,-0.66504854368932,5.36133094773762,0.711650485436893,5.65937564971454,3.91747572815534,3.71820638663567,4.16796116504854,3.89187470826671,0.752427184466019,"Pittsburgh","Pennsylvania",-79.95,40.45,276,"Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.392733413943,"L",182.263940475727,"L"
"21","KAGC",5,-0.636540330417881,6.11705421108704,0.739299610894942,5.85645661018598,4.52575315840622,4.16191827840607,4.39688715953307,3.93620871952338,0.715257531584062,"Pittsburgh","Pennsylvania",-79.95,40.45,276,"Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.392733413943,"L",182.263940475727,"L"
"22","KAGC",6,-0.712755598831548,7.08953205905921,-1,3.88631551419363,5.25803310613437,4.80584249153921,3.26666666666667,2.25806345675064,0.68159688412853,"Pittsburgh","Pennsylvania",-79.95,40.45,276,"Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.392733413943,"L",182.263940475727,"L"
"23","KAGC",7,-5,NA,NA,NA,5,NA,NA,NA,0,"Pittsburgh","Pennsylvania",-79.95,40.45,276,"Pittsburgh Allegheny Co.","PA",-79.93,40.35,382,99999,305704,305687,303625,171.392733413943,"L",182.263940475727,"L"
"24","KALB",0,-0.758954501452081,2.93881067920327,2.0648596321394,6.80405818291117,2.22265246853824,2.06596401195144,5.22846079380445,4.81660597041994,0.752178121974831,"Albany","New York",-73.75,42.6667,26,"Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25016201835889,"M",8.6164031058984,"M"
"25","KALB",1,-0.709302325581395,3.37428955020851,1.14341085271318,6.64616129324207,2.52131782945736,2.35079098225308,4.94573643410853,4.58214826007555,0.75968992248062,"Albany","New York",-73.75,42.6667,26,"Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25016201835889,"M",8.6164031058984,"M"
"26","KALB",2,-0.900096993210475,3.88058523139952,1.42483026188167,6.31071860149674,2.9466537342386,2.67931051038352,4.74005819592629,4.40083129796119,0.745877788554801,"Albany","New York",-73.75,42.6667,26,"Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25016201835889,"M",8.6164031058984,"M"
"27","KALB",3,-1.04757281553398,4.30027785528921,1.53203883495146,6.26406620970277,3.30582524271845,2.94138808992831,4.75922330097087,4.34922190449947,0.706796116504854,"Albany","New York",-73.75,42.6667,26,"Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25016201835889,"M",8.6164031058984,"M"
"28","KALB",4,-1.03595724003887,4.80754813275473,1.56462585034014,6.28791630201609,3.71428571428571,3.22140216468152,4.78717201166181,4.36451809046743,0.689990281827016,"Albany","New York",-73.75,42.6667,26,"Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25016201835889,"M",8.6164031058984,"M"
"29","KALB",5,-1.03112840466926,5.52281308333946,1.52626459143969,6.23885888063313,4.21984435797665,3.70692596002712,4.85700389105058,4.2001970060886,0.650778210116732,"Albany","New York",-73.75,42.6667,26,"Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25016201835889,"M",8.6164031058984,"M"
"30","KALB",6,-1.01071080817916,6.11288242652648,3.2258064516129,6.59145748889857,4.73222979552093,3.99675345756451,5.54838709677419,4.73172773010324,0.627069133398247,"Albany","New York",-73.75,42.6667,26,"Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25016201835889,"M",8.6164031058984,"M"
"31","KALB",7,-1,NA,NA,NA,1,NA,NA,NA,0,"Albany","New York",-73.75,42.6667,26,"Albany","NY",-73.8,42.75,89,72518,97856,97840,98111,1.25016201835889,"M",8.6164031058984,"M"
"32","KAMA",0,-0.682785299806576,3.45654164359657,1.0357833655706,3.64090932753614,2.59767891682785,2.37904583389393,2.61605415860735,2.73491170140628,0.811411992263056,"Amarillo","Texas",-101.833,35.1833,1115,"Amarillo","TX",-101.7,35.23,1099,72363,190695,190666,199582,848.612407082042,"G",846.296339244739,"G"
"33","KAMA",1,-0.658276863504356,4.08679710700386,1.28944820909971,4.50413838406735,3.03000968054211,2.81883024901721,3.43465634075508,3.18484774181857,0.797676669893514,"Amarillo","Texas",-101.833,35.1833,1115,"Amarillo","TX",-101.7,35.23,1099,72363,190695,190666,199582,848.612407082042,"G",846.296339244739,"G"
"34","KAMA",2,-0.718023255813954,4.57451982050655,1.49127906976744,4.64990863896857,3.47771317829457,3.05549820097473,3.57461240310078,3.3252779096626,0.777131782945736,"Amarillo","Texas",-101.833,35.1833,1115,"Amarillo","TX",-101.7,35.23,1099,72363,190695,190666,199582,848.612407082042,"G",846.296339244739,"G"
"35","KAMA",3,-1.06304558680892,5.34779711810073,1.79340446168768,4.53347796686581,4.12609117361785,3.56215383566752,3.66731328806984,3.21085665274452,0.777885548011639,"Amarillo","Texas",-101.833,35.1833,1115,"Amarillo","TX",-101.7,35.23,1099,72363,190695,190666,199582,848.612407082042,"G",846.296339244739,"G"
"36","KAMA",4,-1.09126213592233,6.06343382069779,1.75825242718447,4.66119402012663,4.66990291262136,4.01597478086159,3.77378640776699,3.25052021447836,0.755339805825243,"Amarillo","Texas",-101.833,35.1833,1115,"Amarillo","TX",-101.7,35.23,1099,72363,190695,190666,199582,848.612407082042,"G",846.296339244739,"G"
"37","KAMA",5,-1.06025267249757,7.02941736535864,1.75291828793774,4.99495765661423,5.30709426627794,4.72708050379452,3.99221789883268,3.47447750139258,0.7444120505345,"Amarillo","Texas",-101.833,35.1833,1115,"Amarillo","TX",-101.7,35.23,1099,72363,190695,190666,199582,848.612407082042,"G",846.296339244739,"G"
"38","KAMA",6,-1.02439024390244,7.94809764016279,1.72077922077922,4.84532570321539,5.9609756097561,5.3530108919893,3.91125541125541,3.33370400132691,0.728780487804878,"Amarillo","Texas",-101.833,35.1833,1115,"Amarillo","TX",-101.7,35.23,1099,72363,190695,190666,199582,848.612407082042,"G",846.296339244739,"G"
"39","KANJ",0,-2.06092843326886,2.97767776430865,2.4100580270793,6.07297788594791,2.82301740812379,2.2673686267416,4.73694390715667,4.49830007073519,0.811411992263056,"Sault Ste Marie","Michigan",-84.35,46.5,186,"Sault Ste Marie","MI",-84.37,46.47,221,72734,14144,14144,13704,0.230149703271266,"L",2.69244063921978,"L"
"40","KANJ",1,-2.0377541142304,3.26175981973722,1.27589545014521,5.9541505454381,3.00968054211036,2.39344696344833,4.47628267182962,4.12612081618882,0.794772507260407,"Sault Ste Marie","Michigan",-84.35,46.5,186,"Sault Ste Marie","MI",-84.37,46.47,221,72734,14144,14144,13704,0.230149703271266,"L",2.69244063921978,"L"
"41","KANJ",2,-2.05910852713178,3.74002318232271,1.31298449612403,5.91762938547954,3.375,2.61345377616578,4.47577519379845,4.08557757390087,0.784883720930233,"Sault Ste Marie","Michigan",-84.35,46.5,186,"Sault Ste Marie","MI",-84.37,46.47,221,72734,14144,14144,13704,0.230149703271266,"L",2.69244063921978,"L"
"42","KANJ",3,-2.4917555771096,4.09897926228307,1.37148399612027,5.77916593147997,3.78564500484966,2.94473819794538,4.40931134820563,3.9775182059541,0.668283220174588,"Sault Ste Marie","Michigan",-84.35,46.5,186,"Sault Ste Marie","MI",-84.37,46.47,221,72734,14144,14144,13704,0.230149703271266,"L",2.69244063921978,"L"
"43","KANJ",4,-2.27378640776699,4.63505804742746,1.41067961165049,5.76889573002483,4.08543689320388,3.15465958813386,4.43203883495146,3.95095573661593,0.392233009708738,"Sault Ste Marie","Michigan",-84.35,46.5,186,"Sault Ste Marie","MI",-84.37,46.47,221,72734,14144,14144,13704,0.230149703271266,"L",2.69244063921978,"L"
"44","KANJ",5,-2.21282798833819,5.36783099600822,1.533527696793,6.03750384025308,4.6287657920311,3.50266554037069,4.68415937803693,4.10399252767119,0.393586005830904,"Sault Ste Marie","Michigan",-84.35,46.5,186,"Sault Ste Marie","MI",-84.37,46.47,221,72734,14144,14144,13704,0.230149703271266,"L",2.69244063921978,"L"
"45","KANJ",6,-2.0136186770428,6.01570561604625,2.29411764705882,4.13799403726086,5.07392996108949,3.80492958105712,3.29411764705882,3.37126369405163,0.390077821011673,"Sault Ste Marie","Michigan",-84.35,46.5,186,"Sault Ste Marie","MI",-84.37,46.47,221,72734,14144,14144,13704,0.230149703271266,"L",2.69244063921978,"L"
"46","KART",0,-1.73404255319149,3.62574713762952,4.5357833655706,8.74834660166146,2.88297872340426,2.79932926995006,7.12959381044487,6.80047791935653,0.799806576402321,"Watertown","New York",-75.9167,43.9667,149,"Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70822929534812,"L",0.0214092026931881,"L"
"47","KART",1,-1.80154888673766,3.96060023074442,3.43949661181026,8.9487379766234,3.18393030009681,2.96442950493191,6.95740561471442,6.59311111637559,0.818005808325266,"Watertown","New York",-75.9167,43.9667,149,"Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70822929534812,"L",0.0214092026931881,"L"
"48","KART",2,-1.8827519379845,4.31122111831834,3.39437984496124,8.56075947091247,3.47577519379845,3.16892562269572,6.82461240310078,6.18054069348176,0.811046511627907,"Watertown","New York",-75.9167,43.9667,149,"Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70822929534812,"L",0.0214092026931881,"L"
"49","KART",3,-2.00581959262852,4.58363118469673,3.31910766246363,8.49180150469815,3.74005819592629,3.32193878302466,6.68671193016489,6.19534807891187,0.792434529582929,"Watertown","New York",-75.9167,43.9667,149,"Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70822929534812,"L",0.0214092026931881,"L"
"50","KART",4,-2,5.18032459181654,3.42815533980583,8.32398991237772,4.16116504854369,3.67525894077824,6.69029126213592,6.02071278358074,0.758252427184466,"Watertown","New York",-75.9167,43.9667,149,"Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70822929534812,"L",0.0214092026931881,"L"
"51","KART",5,-1.96598639455782,5.79864883663031,3.49562682215743,8.64233259967043,4.61710398445092,4.01930397524278,7.00583090379009,6.14750313226939,0.718172983479106,"Watertown","New York",-75.9167,43.9667,149,"Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70822929534812,"L",0.0214092026931881,"L"
"52","KART",6,-1.89299610894942,6.42977415531819,4.76923076923077,5.70069958062184,5.04280155642023,4.41297069466965,5.84615384615385,4.55688294629507,0.665369649805447,"Watertown","New York",-75.9167,43.9667,149,"Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70822929534812,"L",0.0214092026931881,"L"
"53","KART",7,-6,NA,NA,NA,6,NA,NA,NA,0,"Watertown","New York",-75.9167,43.9667,149,"Watertown","NY",-76.02,44,99,99999,27023,26816,25900,8.70822929534812,"L",0.0214092026931881,"L"
"54","KATL",0,-1.18780251694095,2.6537172830441,0.358180058083253,4.54685697075563,2.19264278799613,1.9084329596863,3.17715392061955,3.2708159900582,0.794003868471954,"Atlanta","Georgia",-84.3833,33.75,309,"Atlanta","GA",-84.42,33.65,315,72219,420003,420425,472522,218.315532137801,"S",221.00895330442,"S"
"55","KATL",1,-1.30455868089234,3.11687679349457,0.062015503875969,4.58141471843165,2.5654704170708,2.19782123950585,3.32364341085271,3.15212475885985,0.81026137463698,"Atlanta","Georgia",-84.3833,33.75,309,"Atlanta","GA",-84.42,33.65,315,72219,420003,420425,472522,218.315532137801,"S",221.00895330442,"S"
"56","KATL",2,-1.62815533980583,3.54542691188353,-0.227934044616877,4.63517948244516,2.96601941747573,2.53331747980021,3.41319107662464,3.14256413167762,0.790697674418605,"Atlanta","Georgia",-84.3833,33.75,309,"Atlanta","GA",-84.42,33.65,315,72219,420003,420425,472522,218.315532137801,"S",221.00895330442,"S"
"57","KATL",3,-1.71331389698737,3.90729483375772,-0.409708737864078,4.47768497043744,3.21574344023324,2.80253237281035,3.30679611650485,3.04502213344701,0.766246362754607,"Atlanta","Georgia",-84.3833,33.75,309,"Atlanta","GA",-84.42,33.65,315,72219,420003,420425,472522,218.315532137801,"S",221.00895330442,"S"
"58","KATL",4,-1.64980544747082,4.3500584738025,-0.32555879494655,4.45098006560896,3.52140077821012,3.03894378702223,3.28182701652089,3.02265604676607,0.737864077669903,"Atlanta","Georgia",-84.3833,33.75,309,"Atlanta","GA",-84.42,33.65,315,72219,420003,420425,472522,218.315532137801,"S",221.00895330442,"S"
"59","KATL",5,-1.63777994157741,4.75882827264498,-0.351167315175097,4.5669560150765,3.81694255111977,3.27843464519537,3.41731517509728,3.04813250565625,0.709426627793975,"Atlanta","Georgia",-84.3833,33.75,309,"Atlanta","GA",-84.42,33.65,315,72219,420003,420425,472522,218.315532137801,"S",221.00895330442,"S"
"60","KATL",6,-1.63840155945419,5.23616383303632,-0.318181818181818,3.5356833968064,4.18810916179337,3.54217721827029,2.5,2.49184717139342,0.678015564202335,"Atlanta","Georgia",-84.3833,33.75,309,"Atlanta","GA",-84.42,33.65,315,72219,420003,420425,472522,218.315532137801,"S",221.00895330442,"S"
"61","KAVP",0,-2.28916827852998,3.24186952097335,1.11315280464217,6.51691975549577,2.99129593810445,2.60740654483926,4.98355899419729,4.34173341917225,0.751450676982592,"Scranton","Pennsylvania",-75.65,41.4,269,"Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.623851861308,"M",142.413764754639,"M"
"62","KAVP",1,-2.38528557599226,3.64466483034282,0.389157792836399,6.33386053756945,3.28557599225557,2.85888304920566,4.91965150048403,4.00536595925737,0.75701839303001,"Scranton","Pennsylvania",-75.65,41.4,269,"Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.623851861308,"M",142.413764754639,"M"
"63","KAVP",2,-2.56782945736434,4.03587836757391,0.253875968992248,6.08774225134737,3.7422480620155,2.9783307259583,4.61627906976744,3.9742193581776,0.734496124031008,"Scranton","Pennsylvania",-75.65,41.4,269,"Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.623851861308,"M",142.413764754639,"M"
"64","KAVP",3,-2.64694471387003,4.56617873379693,0.282250242483026,5.96013171642403,4.10766246362755,3.31267783425002,4.45877788554801,3.96268983620923,0.710960232783705,"Scranton","Pennsylvania",-75.65,41.4,269,"Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.623851861308,"M",142.413764754639,"M"
"65","KAVP",4,-2.64466019417476,4.99542508204346,0.392233009708738,5.95411168286658,4.41553398058252,3.5269545796219,4.46019417475728,3.96141103851875,0.654368932038835,"Scranton","Pennsylvania",-75.65,41.4,269,"Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.623851861308,"M",142.413764754639,"M"
"66","KAVP",5,-2.60349854227405,5.58505400289215,0.397859922178988,5.89640156399841,4.77648202137998,3.89109914964038,4.48540856031128,3.84545421747039,0.631681243926142,"Scranton","Pennsylvania",-75.65,41.4,269,"Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.623851861308,"M",142.413764754639,"M"
"67","KAVP",6,-2.64654333008763,6.33631010597537,0.928571428571429,5.88739124412296,5.32035053554041,4.33890832042663,4.85714285714286,3.33015721700149,0.604673807205453,"Scranton","Pennsylvania",-75.65,41.4,269,"Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.623851861308,"M",142.413764754639,"M"
"68","KAVP",7,-2,NA,NA,NA,2,NA,NA,NA,0,"Scranton","Pennsylvania",-75.65,41.4,269,"Avoca","PA",-75.73,41.33,289,72513,76089,76089,77291,135.623851861308,"M",142.413764754639,"M"
"69","KBAD",0,0.710243902439024,3.65811149715393,2.34341463414634,3.68393869988525,2.32585365853659,2.9106426612038,2.95219512195122,3.21626991239701,0.823414634146341,"Shreveport","Louisiana",-93.7,32.4667,46,"Barksdale AFB","LA",-93.67,32.5,51,99999,199311,200410,194920,229.371466675819,"G",231.962696583065,"G"
"70","KBAD",1,0.68359375,4.04126858597257,2.3134765625,4.845650267366,2.65234375,3.12374852751428,3.7900390625,3.80253791856551,0.8193359375,"Shreveport","Louisiana",-93.7,32.4667,46,"Barksdale AFB","LA",-93.67,32.5,51,99999,199311,200410,194920,229.371466675819,"G",231.962696583065,"G"
"71","KBAD",2,0.63147605083089,4.32170900900057,2.4652981427175,4.70983046591674,2.88172043010753,3.28083567883395,3.83382209188661,3.68151751176777,0.804496578690127,"Shreveport","Louisiana",-93.7,32.4667,46,"Barksdale AFB","LA",-93.67,32.5,51,99999,199311,200410,194920,229.371466675819,"G",231.962696583065,"G"
"72","KBAD",3,0.512720156555773,4.82376327194704,2.63111545988258,4.77238326681981,3.22504892367906,3.62225122876692,3.96575342465753,3.73665452537178,0.783757338551859,"Shreveport","Louisiana",-93.7,32.4667,46,"Barksdale AFB","LA",-93.67,32.5,51,99999,199311,200410,194920,229.371466675819,"G",231.962696583065,"G"
"73","KBAD",4,0.512242899118511,5.13953314464101,2.60039177277179,4.93238198066881,3.55239960822723,3.74773743782856,4.09304603330069,3.78518275089629,0.777668952007835,"Shreveport","Louisiana",-93.7,32.4667,46,"Barksdale AFB","LA",-93.67,32.5,51,99999,199311,200410,194920,229.371466675819,"G",231.962696583065,"G"
"74","KBAD",5,0.608823529411765,5.67425539405595,2.52156862745098,5.21872200469734,3.9656862745098,4.10196331790528,4.32941176470588,3.85193547657035,0.750980392156863,"Shreveport","Louisiana",-93.7,32.4667,46,"Barksdale AFB","LA",-93.67,32.5,51,99999,199311,200410,194920,229.371466675819,"G",231.962696583065,"G"
"75","KBAD",6,0.546614327772326,6.26090685412129,2.93449781659389,5.17865399375986,4.43081452404318,4.45495600757354,4.51528384279476,3.87507126019052,0.719332679097154,"Shreveport","Louisiana",-93.7,32.4667,46,"Barksdale AFB","LA",-93.67,32.5,51,99999,199311,200410,194920,229.371466675819,"G",231.962696583065,"G"
"76","KBFI",0,-1.64956437560503,2.72746977615059,-0.600193610842207,3.16624027544631,2.52855759922556,1.93984324439189,2.4298160696999,2.11563981953021,0.812197483059051,"Seattle","Washington",-122.333,47.6167,41,"Seattle Boeing","WA",-122.3,47.53,5,99999,608660,608659,704352,1.16717030172924,"P",0.742651695849024,"P"
"77","KBFI",1,-1.65794573643411,3.00924131838584,-0.941860465116279,3.44845818426154,2.68313953488372,2.144938921196,2.71899224806202,2.31942577761484,0.797480620155039,"Seattle","Washington",-122.333,47.6167,41,"Seattle Boeing","WA",-122.3,47.53,5,99999,608660,608659,704352,1.16717030172924,"P",0.742651695849024,"P"
"78","KBFI",2,-1.58777885548012,3.22035486399817,-0.918525703200776,3.47489696139322,2.79049466537342,2.25826354110587,2.73035887487876,2.33609078640919,0.788554801163919,"Seattle","Washington",-122.333,47.6167,41,"Seattle Boeing","WA",-122.3,47.53,5,99999,608660,608659,704352,1.16717030172924,"P",0.742651695849024,"P"
"79","KBFI",3,-1.60097087378641,3.5744203834843,-0.895145631067961,3.60442926531028,3.04368932038835,2.46354055194969,2.8252427184466,2.40919515033967,0.66504854368932,"Seattle","Washington",-122.333,47.6167,41,"Seattle Boeing","WA",-122.3,47.53,5,99999,608660,608659,704352,1.16717030172924,"P",0.742651695849024,"P"
"80","KBFI",4,-1.66763848396501,3.99809443441912,-0.900874635568513,3.86013865560475,3.38969873663751,2.69578334929767,3.00388726919339,2.58474732354616,0.60932944606414,"Seattle","Washington",-122.333,47.6167,41,"Seattle Boeing","WA",-122.3,47.53,5,99999,608660,608659,704352,1.16717030172924,"P",0.742651695849024,"P"
"81","KBFI",5,-1.81420233463035,4.50397559383573,-0.99317738791423,4.08387098070439,3.76167315175097,3.06861010663498,3.19200779727096,2.73249184301331,0.613813229571984,"Seattle","Washington",-122.333,47.6167,41,"Seattle Boeing","WA",-122.3,47.53,5,99999,608660,608659,704352,1.16717030172924,"P",0.742651695849024,"P"
"82","KBFI",6,-2.01372549019608,4.99497370947326,-1.63318777292576,4.45801605005184,4.15686274509804,3.42233355884725,3.72489082969432,2.93970638337248,0.611764705882353,"Seattle","Washington",-122.333,47.6167,41,"Seattle Boeing","WA",-122.3,47.53,5,99999,608660,608659,704352,1.16717030172924,"P",0.742651695849024,"P"
"83","KBFM",0,0.0358180058083253,2.66503245718581,-0.0619554695062923,3.76849892622113,1.90609874152953,1.86197454424569,2.59825750242014,2.72909191805519,0.797676669893514,"Mobile","Alabama",-88.05,30.7,4,"Mobile Downtown","AL",-88.07,30.63,8,99999,195111,194670,192904,1.03233501241086,"G",1.04028849217578,"G"
"84","KBFM",1,0.0232558139534884,3.01458495718378,0.0901162790697674,4.50224851530283,2.13178294573643,2.13057678546861,3.25678294573643,3.10828693052354,0.797480620155039,"Mobile","Alabama",-88.05,30.7,4,"Mobile Downtown","AL",-88.07,30.63,8,99999,195111,194670,192904,1.03233501241086,"G",1.04028849217578,"G"
"85","KBFM",2,-0.176527643064985,3.26973054454704,0.45101842870999,4.53950046764803,2.41707080504365,2.20781039749623,3.32977691561591,3.11648854064498,0.789524733268671,"Mobile","Alabama",-88.05,30.7,4,"Mobile Downtown","AL",-88.07,30.63,8,99999,195111,194670,192904,1.03233501241086,"G",1.04028849217578,"G"
