"city","state","longitude","latitude","elevation","AirPtCd","name.arpt","state.arpt","lon.arpt","lat.arpt","elev.arpt","WMO","census2010","est2010","est2016","dist2coast","coastRegion","Cluster6","color","name","ClustName"
"Knoxville","Tennessee",-83.9333,35.95,277,"KTYS","Knoxville","TN",-83.98,35.82,299,72326,178874,178430,186239,317.947695824963,"S",3,"#4DAF4A","Knoxville, Tennessee","Southeast"
"Sault Ste Marie","Michigan",-84.35,46.5,185,"KANJ","Sault Ste Marie","MI",-84.37,46.47,221,72734,14144,14144,13704,0.356451491658163,"L",2,"#377EB8","Sault Ste Marie, Michigan","Northeast"
"Atlanta","Georgia",-84.3833,33.75,309,"KATL","Atlanta","GA",-84.42,33.65,315,72219,420003,420425,472522,218.109915242447,"S",3,"#4DAF4A","Atlanta, Georgia","Southeast"
"Cincinnati","Ohio",-84.5,39.1333,253,"KLUK","Cincinnati","OH",-84.42,39.1,147,99999,296943,296946,298800,284.966853343182,"L",2,"#377EB8","Cincinnati, Ohio","Northeast"
"Grand Rapids","Michigan",-85.6667,42.9667,202,"KGRR","Grand Rapids","MI",-85.52,42.88,245,72635,188040,188114,196445,2.63722958035044,"L",2,"#377EB8","Grand Rapids, Michigan","Northeast"
"Louisville","Kentucky",-85.7667,38.25,139,"KSDF","Louisville","KY",-85.73,38.18,149,72423,597337,596332,616261,390.70887161336,"L",3,"#4DAF4A","Louisville, Kentucky","Southeast"
"Indianapolis","Indiana",-86.1667,39.7667,217,"KEYE","Eagle Creek","IN",-86.1,39.8,250,99999,820445,820441,855164,219.190550581997,"L",2,"#377EB8","Indianapolis, Indiana","Northeast"
"Montgomery","Alabama",-86.3,32.35,74,"KMXF","Maxwell AFB","AL",-86.37,32.38,51,99999,205764,205514,200022,200.965652268175,"G",3,"#4DAF4A","Montgomery, Alabama","Southeast"
"Nashville","Tennessee",-86.7833,36.1667,153,"KBNA","Nashville","TN",-86.68,36.12,180,72327,601222,603445,660388,521.732439397992,"S",3,"#4DAF4A","Nashville, Tennessee","Southeast"
"Birmingham","Alabama",-86.8333,33.5,172,"KBHM","Birmingham","AL",-86.75,33.57,192,72228,212237,212204,212157,309.461064103777,"G",3,"#4DAF4A","Birmingham, Alabama","Southeast"
"Chicago","Illinois",-87.6167,41.8333,181,"KMDW","Chicago Midway","IL",-87.75,41.78,190,72534,2695598,2695620,2704958,0.914894081972112,"L",2,"#377EB8","Chicago, Illinois","Northeast"
"Milwaukee","Wisconsin",-87.9167,43.0333,179,"KMKE","Milwaukee","WI",-87.9,42.95,211,72640,594833,594775,595047,0.0190688621303892,"L",2,"#377EB8","Milwaukee, Wisconsin","Northeast"
"Mobile","Alabama",-88.05,30.7,4,"KBFM","Mobile Downtown","AL",-88.07,30.63,8,99999,195111,194670,192904,1.0348986231735,"G",3,"#4DAF4A","Mobile, Alabama","Southeast"
"Springfield","Illinois",-89.6333,39.8,185,"KSPI","Springfield","IL",-89.67,39.85,187,72439,116250,116444,115715,229.99672979778,"L",2,"#377EB8","Springfield, Illinois","Northeast"
"Memphis","Tennessee",-90.05,35.15,80,"KMEM","Memphis","TN",-90,35.05,87,72334,646889,651836,652717,482.423880785484,"G",3,"#4DAF4A","Memphis, Tennessee","Southeast"
"New Orleans","Louisiana",-90.0667,29.95,2,"KNEW","New Orleans Lakefront","LA",-90.03,30.05,3,99999,343829,343829,391495,0.420143844433442,"G",3,"#4DAF4A","New Orleans, Louisiana","Southeast"
"Jackson","Mississippi",-90.2,32.3333,95,"KHKS","Jackson Hawkins Field","MS",-90.22,32.33,104,99999,173514,173593,169148,197.989495897995,"G",3,"#4DAF4A","Jackson, Mississippi","Southeast"
"St Louis","Missouri",-90.2,38.5833,126,"KCPS","Cahokia","IL",-90.15,38.57,126,99999,319294,319381,311404,371.451433133581,"L",2,"#377EB8","St Louis, Missouri","Northeast"
"Dubuque","Iowa",-90.6667,42.5167,190,"KDBQ","Dubuque","IA",-90.7,42.4,329,72547,57637,57603,58531,227.841175526713,"L",2,"#377EB8","Dubuque, Iowa","Northeast"
"Duluth","Minnesota",-92.0833,46.8167,328,"KDLH","Duluth","MN",-92.18,46.83,432,72745,86265,86268,86293,1.83483440340397,"L",2,"#377EB8","Duluth, Minnesota","Northeast"
"Hot Springs","Arkansas",-93.05,34.5167,252,"KHOT","Hot Springs","AR",-93.1,34.48,165,99999,35193,36292,36867,405.674563899308,"G",3,"#4DAF4A","Hot Springs, Arkansas","Southeast"
"Minneapolis","Minnesota",-93.2333,44.9833,254,"KMSP","Minneapolis","MN",-93.22,44.88,255,72658,382578,382603,413651,207.837073972162,"L",2,"#377EB8","Minneapolis, Minnesota","Northeast"
"Springfield","Missouri",-93.2833,37.2167,390,"KSGF","Springfield","MO",-93.38,37.23,387,72440,159498,159446,167319,653.355720333835,"L",1,"#984EA3","Springfield, Missouri","Midwest"
"Des Moines","Iowa",-93.6167,41.5833,241,"KDSM","Des Moines","IA",-93.65,41.53,294,72546,203433,204190,215472,459.616940570641,"L",2,"#377EB8","Des Moines, Iowa","Northeast"
"Shreveport","Louisiana",-93.7,32.4667,46,"KBAD","Barksdale AFB","LA",-93.67,32.5,51,99999,199311,200410,194920,230.17494213248,"G",3,"#4DAF4A","Shreveport, Louisiana","Southeast"
"Kansas City","Missouri",-94.5833,39.1,271,"KMKC","Kansas City","MO",-94.6,39.12,231,99999,459787,459939,481420,612.002281650456,"L",2,"#377EB8","Kansas City, Missouri","Northeast"
"Lincoln","Nebraska",-96.6667,40.8333,354,"KLNK","Lincoln","NE",-96.75,40.85,362,72551,258379,258472,280364,721.524578441157,"L",1,"#984EA3","Lincoln, Nebraska","Midwest"
"Sioux Falls","South Dakota",-96.7333,43.55,446,"KFSD","Sioux Falls","SD",-96.73,43.58,435,72651,153888,153954,174360,504.327029960766,"L",2,"#377EB8","Sioux Falls, South Dakota","Northeast"
"Dallas","Texas",-96.7667,32.7667,132,"KDAL","Dallas Love","TX",-96.85,32.85,148,99999,1197816,1197824,1317929,359.838982829699,"G",3,"#4DAF4A","Dallas, Texas","Southeast"
"Fargo","North Dakota",-96.8,46.8667,275,"KFAR","Fargo","ND",-96.8,46.9,274,72753,105549,105554,120762,355.106914532411,"L",1,"#984EA3","Fargo, North Dakota","Midwest"
"Wichita","Kansas",-97.2833,37.7167,429,"KAAO","Wichita Jabara","KS",-97.22,37.75,433,99999,382368,382417,389902,892.843265018098,"L",1,"#984EA3","Wichita, Kansas","Midwest"
"Oklahoma City","Oklahoma",-97.4667,35.4333,373,"KTIK","Tinker AFB","OK",-97.38,35.42,394,72354,579999,580004,638367,661.030704214165,"G",1,"#984EA3","Oklahoma City, Oklahoma","Midwest"
"San Antonio","Texas",-98.55,29.3833,205,"KSKF","Kelly AFB","TX",-98.58,29.38,210,99999,1327407,1327538,1492510,166.346287835966,"G",3,"#4DAF4A","San Antonio, Texas","Southeast"
"Pierre","South Dakota",-100.35,44.3667,448,"KPIR","Pierre","SD",-100.28,44.38,531,99999,13646,13646,14008,691.379844866448,"L",1,"#984EA3","Pierre, South Dakota","Midwest"
"North Platte","Nebraska",-100.767,41.1333,854,"KLBF","North Platte","NE",-100.68,41.13,849,72562,24733,24736,24110,929.555586106562,"L",1,"#984EA3","North Platte, Nebraska","Midwest"
"Bismarck","North Dakota",-100.783,46.8,499,"KBIS","Bismarck","ND",-100.75,46.77,506,72764,61272,61325,72417,658.502070741078,"L",1,"#984EA3","Bismarck, North Dakota","Midwest"
"Garden City","Kansas",-100.883,37.9667,866,"KGCK","Garden City","KS",-100.72,37.93,881,99999,26658,26731,26747,1045.4574218103,"G",1,"#984EA3","Garden City, Kansas","Midwest"
"Amarillo","Texas",-101.833,35.1833,1115,"KAMA","Amarillo","TX",-101.7,35.23,1099,72363,190695,190666,199582,850.780115194868,"G",1,"#984EA3","Amarillo, Texas","Midwest"
"Carlsbad","New Mexico",-104.25,32.4333,961,"KCNM","Carlsbad","NM",-104.27,32.33,1004,99999,26138,26159,28914,806.741090434837,"G",6,"#FF7F00","Carlsbad, New Mexico","Southwest"
"Trinidad","Colorado",-104.5,37.1667,1866,"KTAD","Trinidad","CO",-104.33,37.27,1756,99999,9096,9091,8103,1170.62065013711,"G",1,"#984EA3","Trinidad, Colorado","Midwest"
"Cheyenne","Wyoming",-104.867,41.15,1866,"KCYS","Cheyenne","WY",-104.82,41.15,1872,72564,59466,59657,64019,1192.04549428892,"L",1,"#984EA3","Cheyenne, Wyoming","Midwest"
"Denver","Colorado",-105,39.75,1583,"KBJC","Broomfield","CO",-105.12,39.92,1724,99999,600158,599864,693060,1297.61749095502,"L",5,"#E41A1C","Denver, Colorado","Intermountain West"
"Santa Fe","New Mexico",-105.95,35.6833,2120,"KSAF","Santa Fe","NM",-106.08,35.62,1934,99999,67947,80882,83875,1080.73903876689,"P",5,"#E41A1C","Santa Fe, New Mexico","Intermountain West"
"El Paso","Texas",-106.483,31.7667,1137,"KELP","El Paso","TX",-106.4,31.8,1194,72270,649121,648054,683080,968.732682951446,"G",6,"#FF7F00","El Paso, Texas","Southwest"
"Grand Junction","Colorado",-108.55,39.0833,1414,"KGJT","Grand Junction","CO",-108.53,39.12,1475,72476,58566,59100,61881,1027.05418818615,"P",5,"#E41A1C","Grand Junction, Colorado","Intermountain West"
"Lander","Wyoming",-108.667,42.8333,1752,"KLND","Lander","WY",-108.73,42.82,1694,72576,7487,7597,7665,1099.93969572778,"P",5,"#E41A1C","Lander, Wyoming","Intermountain West"
"Havre","Montana",-109.717,48.55,828,"KHVR","Havre","MT",-109.77,48.55,792,72777,9310,9494,9846,921.091847442335,"P",5,"#E41A1C","Havre, Montana","Intermountain West"
"Nogales","Arizona",-110.933,31.35,1175,"KOLS","Nogales","AZ",-110.85,31.42,1198,99999,20837,20837,20008,597.994858296671,"P",6,"#FF7F00","Nogales, Arizona","Southwest"
"Provo","Utah",-111.6608,40.2444,1394,"KPVU","Provo","UT",-111.72,40.22,1369,99999,112488,112493,116868,859.009131928581,"P",5,"#E41A1C","Provo, Utah","Intermountain West"
"Flagstaff","Arizona",-111.683,35.2167,2262,"KFLG","Flagstaff","AZ",-111.67,35.13,2137,99999,65870,66067,71459,567.769885762675,"P",5,"#E41A1C","Flagstaff, Arizona","Intermountain West"
"Salt Lake City","Utah",-111.9,40.7667,1302,"KSLC","Salt Lake City","UT",-111.97,40.78,1288,72572,186440,186439,193744,850.669890592855,"P",5,"#E41A1C","Salt Lake City, Utah","Intermountain West"
"Idaho Falls","Idaho",-112.017,43.5,1444,"KIDA","Idaho Falls","ID",-112.07,43.52,1445,99999,56813,57038,60211,819.301285373984,"P",5,"#E41A1C","Idaho Falls, Idaho","Intermountain West"
"Helena","Montana",-112.033,46.5833,1286,"KHLN","Helena","MT",-112,46.6,1188,72772,28190,28220,31169,768.130696587002,"P",5,"#E41A1C","Helena, Montana","Intermountain West"
"Phoenix","Arizona",-112.067,33.4833,336,"KPHX","Phoenix","AZ",-112.02,33.43,337,72278,1445632,1447624,1615017,479.027212928451,"P",6,"#FF7F00","Phoenix, Arizona","Southwest"
"Richfield","Utah",-112.083,38.7667,1621,"KMLF","Milford","UT",-113.01,38.43,1536,99999,7551,7569,7723,771.255989802262,"P",5,"#E41A1C","Richfield, Utah","Intermountain West"
"St George","Utah",-113.5781,37.0953,801,"KSGU","St. George","UT",-113.6,37.08,896,99999,72897,72763,82318,547.075437230717,"P",6,"#FF7F00","St George, Utah","Southwest"
"Salmon","Idaho",-113.9,45.1833,1219,"KSMN","Salmon","ID",-113.88,45.12,1233,99999,3112,3136,3055,627.38137017661,"P",5,"#E41A1C","Salmon, Idaho","Intermountain West"
"Needles","California",-114.6,34.8333,152,"KEED","Needles","CA",-114.62,34.77,302,99999,4844,4844,4988,313.515394315885,"P",6,"#FF7F00","Needles, California","Southwest"
"Las Vegas","Nevada",-115.2,36.1667,663,"KVGT","North Las Vegas","NV",-115.19,36.21,671,99999,583756,584526,632912,371.790750104688,"P",6,"#FF7F00","Las Vegas, Nevada","Southwest"
"Boise","Idaho",-116.217,43.6,838,"KBOI","Boise","ID",-116.22,43.57,874,72681,205671,208341,223154,505.234629248533,"P",5,"#E41A1C","Boise, Idaho","Intermountain West"
"Lewiston","Idaho",-117.033,46.4,245,"KLWS","Lewiston","ID",-117.02,46.38,438,72783,31894,31896,32872,385.420438563359,"P",5,"#E41A1C","Lewiston, Idaho","Intermountain West"
"Austin","Nevada",-117.067,39.4833,2112,"KP68","Eureka","NV",-115.97,39.52,1993,99999,192,192,192,389.497247383723,"P",5,"#E41A1C","Austin, Nevada","Intermountain West"
"San Diego","California",-117.15,32.72,40,"KSAN","San Diego","CA",-117.17,32.73,9,72290,1307402,1301722,1406630,1.98890722886251,"P",4,"#F781BF","San Diego, California","Cali-Florida"
"Spokane","Washington",-117.433,47.6667,580,"KGEG","Spokane","WA",-117.53,47.63,721,72785,208916,209437,215973,352.603140436443,"P",5,"#E41A1C","Spokane, Washington","Intermountain West"
"Baker","Oregon",-117.833,44.7833,1046,"KBKE","Baker","OR",-117.82,44.83,1027,99999,9828,9828,9770,333.665283182841,"P",5,"#E41A1C","Baker, Oregon","Intermountain West"
"Los Angeles","California",-118.25,34.05,85,"KCQT","Los Angeles Downtown","CA",-118.24,34.05,78,99999,3792621,3792584,3976322,14.4068533458597,"P",4,"#F781BF","Los Angeles, California","Cali-Florida"
"Fresno","California",-119.8,36.7333,86,"KFAT","Fresno","CA",-119.72,36.77,100,72389,494665,496041,522053,172.949434515203,"P",4,"#F781BF","Fresno, California","Cali-Florida"
"Reno","Nevada",-119.817,39.5,1392,"KRNO","Reno","NV",-119.78,39.5,1341,72488,225221,226050,245255,172.201162555786,"P",5,"#E41A1C","Reno, Nevada","Intermountain West"
"Sacramento","California",-121.5,38.5833,9,"KSAC","Sacramento","CA",-121.5,38.52,8,72483,466488,466488,495234,0.525789229600531,"P",4,"#F781BF","Sacramento, California","Cali-Florida"
"Klamath Falls","Oregon",-121.733,42.1667,1245,"KLMT","Klamath Falls","OR",-121.73,42.15,1247,99999,20840,20991,21524,198.889103465976,"P",5,"#E41A1C","Klamath Falls, Oregon","Intermountain West"
"Seattle","Washington",-122.333,47.6167,41,"KBFI","Seattle Boeing","WA",-122.3,47.53,5,99999,608660,608659,704352,1.16824950648118,"P",4,"#F781BF","Seattle, Washington","Cali-Florida"
"San Francisco","California",-122.433,37.7833,38,"KSFO","San Francisco","CA",-122.38,37.62,5,72494,805235,805193,870887,2.50568840698598,"P",4,"#F781BF","San Francisco, California","Cali-Florida"
"Portland","Oregon",-122.683,45.5167,36,"KVUO","Vancouver","WA",-122.66,45.62,10,99999,583776,583799,639863,4.50588443268381,"P",4,"#F781BF","Portland, Oregon","Cali-Florida"
"Eugene","Oregon",-123.083,44.05,131,"KEUG","Eugene","OR",-123.22,44.12,114,72693,156185,156412,166575,78.3067382937818,"P",4,"#F781BF","Eugene, Oregon","Cali-Florida"
"Hoquiam","Washington",-123.9,46.9833,3,"KHQM","Hoquiam","WA",-123.93,46.97,4,99999,8726,8726,8434,1.11810284179061,"P",4,"#F781BF","Hoquiam, Washington","Cali-Florida"
"Anchorage","Alaska",-149.9,61.2167,27,"PAMR","Anchorage Merrill","AK",-149.85,61.22,42,99999,291826,291826,298192,0.427943950292892,"P",2,"#377EB8","Anchorage, Alaska","Northeast"
"Honolulu","Hawaii",-157.8167,21.3,24,"PHNL","Honolulu","HI",-157.93,21.35,5,91182,337256,337719,351792,2.26204595397853,"P",4,"#F781BF","Honolulu, Hawaii","Cali-Florida"
